date,prospect_id,service,event,source,device,value
2026-04-23,P000,Luxury Villa,visit,direct,desktop,0
2026-04-04,P001,Interior Design,visit,direct,desktop,0
2026-04-04,P001,Interior Design,view_project,direct,desktop,0
2026-04-09,P002,Office Space,visit,direct,mobile,0
2026-04-09,P002,Office Space,view_project,direct,mobile,0
2026-04-29,P003,Apartment Design,visit,ads,mobile,0
2026-05-02,P003,Apartment Design,enquiry,ads,mobile,1
2026-05-08,P003,Apartment Design,deal_closed,ads,mobile,731307
2026-05-25,P003,Apartment Design,move_in,ads,mobile,731307
2026-04-17,P004,Luxury Villa,visit,referral,mobile,0
2026-04-17,P004,Luxury Villa,view_project,referral,mobile,0
2026-04-06,P005,Apartment Design,visit,direct,desktop,0
2026-04-06,P005,Apartment Design,view_project,direct,desktop,0
2026-04-09,P005,Apartment Design,enquiry,direct,desktop,1
2026-04-18,P006,Office Space,visit,direct,mobile,0
2026-04-18,P006,Office Space,view_project,direct,mobile,0
2026-04-20,P006,Office Space,enquiry,direct,mobile,1
2026-04-19,P007,Apartment Design,visit,ads,desktop,0
2026-04-19,P007,Apartment Design,view_project,ads,desktop,0
2026-04-21,P007,Apartment Design,enquiry,ads,desktop,1
2026-04-29,P008,Apartment Design,visit,ads,desktop,0
2026-04-29,P008,Apartment Design,view_project,ads,desktop,0
2026-04-03,P009,Luxury Villa,visit,ads,desktop,0
2026-04-03,P009,Luxury Villa,view_project,ads,desktop,0
2026-04-03,P010,Interior Design,visit,ads,mobile,0
2026-04-03,P010,Interior Design,view_project,ads,mobile,0
2026-04-19,P011,Office Space,visit,ads,mobile,0
2026-04-19,P011,Office Space,view_project,ads,mobile,0
2026-04-18,P012,Luxury Villa,visit,ads,desktop,0
2026-04-19,P013,Office Space,visit,organic,mobile,0
2026-04-19,P013,Office Space,view_project,organic,mobile,0
2026-04-20,P013,Office Space,enquiry,organic,mobile,1
2026-04-16,P014,Luxury Villa,visit,referral,mobile,0
2026-04-16,P014,Luxury Villa,view_project,referral,mobile,0
2026-04-20,P015,Interior Design,visit,organic,mobile,0
2026-04-20,P015,Interior Design,view_project,organic,mobile,0
2026-04-03,P016,Apartment Design,visit,organic,mobile,0
2026-04-03,P016,Apartment Design,view_project,organic,mobile,0
2026-04-06,P016,Apartment Design,enquiry,organic,mobile,1
2026-04-01,P017,Interior Design,visit,ads,desktop,0
2026-04-01,P017,Interior Design,view_project,ads,desktop,0
2026-04-06,P018,Luxury Villa,visit,organic,mobile,0
2026-04-01,P019,Apartment Design,visit,direct,mobile,0
2026-04-01,P020,Office Space,visit,referral,desktop,0
2026-04-05,P021,Interior Design,visit,organic,mobile,0
2026-04-05,P021,Interior Design,view_project,organic,mobile,0
2026-04-22,P022,Interior Design,visit,direct,desktop,0
2026-04-23,P022,Interior Design,enquiry,direct,desktop,1
2026-05-01,P022,Interior Design,deal_closed,direct,desktop,4718074
2026-05-26,P022,Interior Design,move_in,direct,desktop,4718074
2026-04-07,P023,Interior Design,visit,ads,mobile,0
2026-04-07,P023,Interior Design,view_project,ads,mobile,0
2026-04-21,P024,Interior Design,visit,direct,mobile,0
2026-04-21,P024,Interior Design,view_project,direct,mobile,0
2026-04-16,P025,Apartment Design,visit,direct,desktop,0
2026-04-16,P025,Apartment Design,view_project,direct,desktop,0
2026-04-20,P026,Luxury Villa,visit,referral,mobile,0
2026-04-20,P026,Luxury Villa,view_project,referral,mobile,0
2026-04-19,P027,Luxury Villa,visit,ads,desktop,0
2026-04-19,P027,Luxury Villa,view_project,ads,desktop,0
2026-04-17,P028,Luxury Villa,visit,ads,mobile,0
2026-04-17,P028,Luxury Villa,view_project,ads,mobile,0
2026-04-04,P029,Interior Design,visit,referral,desktop,0
2026-04-04,P029,Interior Design,view_project,referral,desktop,0
2026-04-08,P030,Office Space,visit,referral,mobile,0
2026-04-08,P030,Office Space,view_project,referral,mobile,0
2026-04-18,P031,Apartment Design,visit,organic,desktop,0
2026-04-18,P031,Apartment Design,view_project,organic,desktop,0
2026-04-21,P031,Apartment Design,enquiry,organic,desktop,1
2026-05-05,P031,Apartment Design,deal_closed,organic,desktop,4244229
2026-06-01,P031,Apartment Design,move_in,organic,desktop,4244229
2026-04-12,P032,Office Space,visit,direct,mobile,0
2026-04-12,P032,Office Space,view_project,direct,mobile,0
2026-04-14,P032,Office Space,enquiry,direct,mobile,1
2026-04-23,P033,Apartment Design,visit,organic,desktop,0
2026-04-23,P033,Apartment Design,view_project,organic,desktop,0
2026-04-28,P034,Apartment Design,visit,direct,mobile,0
2026-04-28,P034,Apartment Design,view_project,direct,mobile,0
2026-04-24,P035,Interior Design,visit,organic,mobile,0
2026-04-24,P035,Interior Design,view_project,organic,mobile,0
2026-04-26,P035,Interior Design,enquiry,organic,mobile,1
2026-04-10,P036,Luxury Villa,visit,ads,desktop,0
2026-04-10,P036,Luxury Villa,view_project,ads,desktop,0
2026-04-11,P036,Luxury Villa,enquiry,ads,desktop,1
2026-04-04,P037,Office Space,visit,ads,mobile,0
2026-04-04,P037,Office Space,view_project,ads,mobile,0
2026-04-06,P037,Office Space,enquiry,ads,mobile,1
2026-04-29,P038,Apartment Design,visit,ads,desktop,0
2026-04-29,P038,Apartment Design,view_project,ads,desktop,0
2026-04-10,P039,Luxury Villa,visit,organic,mobile,0
2026-04-10,P039,Luxury Villa,view_project,organic,mobile,0
2026-04-28,P040,Office Space,visit,ads,desktop,0
2026-04-28,P040,Office Space,view_project,ads,desktop,0
2026-04-15,P041,Luxury Villa,visit,organic,mobile,0
2026-04-15,P041,Luxury Villa,view_project,organic,mobile,0
2026-04-17,P041,Luxury Villa,enquiry,organic,mobile,1
2026-04-24,P042,Apartment Design,visit,referral,desktop,0
